origem_uf,destino_uf,distancia_km,peso_kg,tipo_carga,modal,prazo_dias,frete_final_r$
PE,SP,2533,19446.43,Comum,Ferroviário,11,8741.5
RJ,ES,1086,4975.5,Inflamável,Rodoviário,13,5080.95
PE,SP,2073,1947.07,Frágil,Aéreo,12,12314.97
BA,MG,2545,18201.26,Inflamável,Ferroviário,5,10960.11
BA,RS,947,16252.78,Industrial,Rodoviário,11,3504.83
RS,PR,1639,906.65,Industrial,Ferroviário,3,7912.66
MG,PR,2789,12851.16,Inflamável,Rodoviário,12,12851.51
RJ,SC,2938,1738.31,Frágil,Ferroviário,5,10253.68
RJ,BA,1066,23105.15,Inflamável,Ferroviário,4,4565.42
BA,RJ,2762,24908.07,Comum,Rodoviário,2,14759.02
PE,BA,684,819.87,Perecível,Rodoviário,13,3345.96
MG,PR,2854,25587.98,Frágil,Ferroviário,11,10347.13
BA,PR,1777,7705.93,Frágil,Ferroviário,14,6495.05
PE,MG,1603,10180.93,Industrial,Ferroviário,12,4447.75
MG,PE,2296,1032.37,Inflamável,Rodoviário,8,10633.7
RS,MG,126,1664.77,Frágil,Rodoviário,3,929.48
RJ,PR,108,4765.21,Inflamável,Rodoviário,13,634.5
GO,ES,251,3355.59,Comum,Aéreo,9,1035.67
SP,GO,2673,10017.59,Comum,Rodoviário,12,9360.18
GO,ES,2103,10407.42,Industrial,Ferroviário,10,6961.71
RJ,RS,2496,11651.9,Frágil,Rodoviário,12,9958.22
PE,GO,1523,28836.79,Comum,Aéreo,9,8900.73
SC,RJ,266,1175.79,Inflamável,Ferroviário,4,1356.41
PR,ES,2468,2521.96,Inflamável,Rodoviário,14,11382.52
SC,PE,1619,23426.2,Inflamável,Aéreo,3,16445.92
GO,GO,238,28351.45,Industrial,Rodoviário,1,1881.92
BA,GO,2249,19415.34,Comum,Rodoviário,12,8487.41
RS,GO,534,22517.35,Frágil,Rodoviário,3,3462.32
PE,RJ,328,18463.53,Inflamável,Aéreo,9,3064.02
PE,GO,619,24970.93,Perecível,Rodoviário,7,3333.01
ES,SC,848,7783.43,Comum,Aéreo,11,4954.23
PE,RJ,1605,27957.14,Comum,Ferroviário,14,5210.84
RJ,MG,2828,6189.05,Inflamável,Rodoviário,9,12642.74
RJ,RJ,1677,22006.47,Industrial,Aéreo,8,9334.92
ES,RJ,1342,18659.53,Industrial,Rodoviário,3,7216.18
PE,SC,900,25787.12,Comum,Aéreo,13,5657.13
MG,MG,1058,29433.69,Inflamável,Rodoviário,2,6914.57
RJ,SP,1671,9955.74,Frágil,Rodoviário,12,6750.15
GO,PR,1168,4921.91,Comum,Aéreo,6,6717.76
GO,MG,422,7670.07,Comum,Aéreo,2,3211.14
SP,ES,2018,10403.11,Perecível,Rodoviário,5,8400.7
RS,ES,1813,27542.2,Inflamável,Aéreo,7,12963.72
GO,SP,2917,14379.58,Inflamável,Ferroviário,8,12370.04
ES,SP,828,12967.08,Industrial,Rodoviário,5,2989.03
SP,SP,462,7137.31,Industrial,Ferroviário,9,1052.15
MG,PR,1253,5008.54,Inflamável,Aéreo,3,12419.13
MG,ES,166,12953.87,Perecível,Aéreo,11,894.24
PR,ES,1013,22196.12,Perecível,Ferroviário,2,6078.8
RS,SC,2073,18274.39,Perecível,Aéreo,7,13745.62
GO,MG,997,8288.08,Perecível,Rodoviário,11,4586.02
GO,MG,2736,1746.52,Perecível,Aéreo,13,17577.06
RS,ES,2029,24250.7,Inflamável,Ferroviário,10,8707.96
PR,SC,2251,16986.02,Industrial,Ferroviário,7,7609.82
ES,GO,2990,24786.93,Perecível,Aéreo,8,19797.22
BA,SC,1866,5366.9,Comum,Ferroviário,7,5805.71
PR,RJ,2091,1463.87,Perecível,Ferroviário,1,11543.89
RJ,RJ,1847,2891.8,Industrial,Aéreo,11,9756.38
SC,ES,1871,2385.25,Perecível,Aéreo,8,11572.64
RS,BA,2896,13436.04,Perecível,Rodoviário,12,12848.33
MG,BA,2017,1355.94,Inflamável,Aéreo,14,13548.86
ES,PE,1998,16946.44,Comum,Rodoviário,8,7444.75
PE,BA,1147,4789.1,Industrial,Aéreo,6,6187.8
GO,SC,1237,19083.79,Frágil,Rodoviário,3,7713.42
PR,MG,644,28332.84,Perecível,Aéreo,5,5001.12
RS,PR,671,11047.5,Inflamável,Aéreo,9,4890.53
SP,RJ,2253,29939.31,Perecível,Aéreo,13,15184.54
RS,MG,1040,7868.41,Perecível,Aéreo,1,8828.63
GO,MG,2328,4149.21,Frágil,Aéreo,8,14385.84
BA,PE,1072,8855.6,Inflamável,Ferroviário,2,6690.97
RS,BA,1402,16873.24,Frágil,Rodoviário,1,8514.02
RS,ES,1912,27965.38,Comum,Ferroviário,13,6111.01
RS,MG,117,20962.33,Perecível,Ferroviário,2,1247.8
BA,GO,1119,27537.05,Industrial,Ferroviário,1,6187.6
MG,SC,1547,4547.31,Inflamável,Rodoviário,1,10142.33
MG,PR,1405,17396.7,Comum,Rodoviário,9,5195.34
SP,RS,2047,23664.26,Perecível,Ferroviário,2,11549.76
SC,SP,202,22802.54,Comum,Aéreo,13,1957.71
PE,MG,1507,23949.19,Inflamável,Aéreo,2,15715.41
GO,SC,2015,18422.46,Perecível,Aéreo,11,13389.86
SP,RS,2788,25616.38,Inflamável,Ferroviário,14,11951.9
GO,SC,1872,17659.45,Comum,Ferroviário,3,8817.7
SP,GO,917,13904.68,Frágil,Rodoviário,12,3965.82
RS,RJ,2636,5706.46,Perecível,Rodoviário,13,11125.32
PR,PR,2220,18393.99,Inflamável,Rodoviário,7,10558.24
MG,PR,2339,6418.63,Inflamável,Rodoviário,6,11005.95
RS,RJ,1464,28804.54,Industrial,Aéreo,14,8344.68
BA,ES,2566,6109.75,Perecível,Rodoviário,2,15285.22
MG,PR,1516,2062.73,Perecível,Ferroviário,6,5641.06
ES,GO,1077,11489.02,Inflamável,Aéreo,10,7563.93
RS,RJ,2699,20185.14,Inflamável,Ferroviário,10,11466.7
MG,MG,1359,10136.82,Inflamável,Ferroviário,7,5856.96
BA,PE,1308,13694.05,Comum,Rodoviário,13,4509.21
ES,ES,2969,18718.7,Inflamável,Ferroviário,11,12535.61
RJ,BA,2155,19519.1,Frágil,Aéreo,7,13747.59
RJ,BA,1848,15526.43,Frágil,Aéreo,9,11782.16
MG,SP,208,13784.17,Industrial,Rodoviário,8,1054.64
SC,PR,185,14004.46,Comum,Ferroviário,7,713.16
ES,SP,363,19992.25,Inflamável,Ferroviário,12,2309.3
MG,GO,2314,15550.22,Industrial,Ferroviário,5,6879.38
BA,GO,1611,23947.01,Frágil,Rodoviário,14,6886.56
BA,PR,997,17017.79,Comum,Ferroviário,4,3718.26
MG,GO,943,21620.7,Inflamável,Ferroviário,11,4137.83
SC,GO,553,28525.8,Industrial,Ferroviário,14,2233.04
MG,GO,1786,11861.84,Industrial,Ferroviário,11,5497.53
RS,SP,990,15612.89,Inflamável,Ferroviário,2,6309.81
GO,SP,946,9179.97,Industrial,Aéreo,4,4760.21
ES,RS,2837,3026.39,Perecível,Aéreo,5,17858.44
PR,PE,1931,19975.35,Perecível,Rodoviário,12,8179.78
ES,SP,909,3613.13,Perecível,Rodoviário,4,3913.58
RJ,PE,1468,14590.46,Inflamável,Rodoviário,2,10248.91
PR,RJ,1732,13776.4,Frágil,Aéreo,7,10581.93
